id,onde,categoria,nome,desconto_pt,desconto_es,desconto_en,descricao_pt,descricao_es,descricao_en,local_pt,local_es,local_en,condicoes_pt,condicoes_es,condicoes_en,validade,logo_url,link,mapa_url,destaque
ben-columbia,expo,equipamentos,COLUMBIA,20% a 40% de desconto,20% a 40% de descuento,20% to 40% off,Desconto valido nos produtos do estande.,Descuento valido en los productos del stand.,Discount valid on products at the booth.,"Estande COLUMBIA, D1","Stand COLUMBIA, D1","COLUMBIA booth, D1",Mediante apresentacao do numero de peito.,Presentando el dorsal.,Show your race bib.,17 a 20 de setembro,,,,sim
ben-hoka,expo,equipamentos,HOKA,20% de desconto,20% de descuento,20% off,Desconto no estande inteiro.,Descuento en todo el stand.,Discount across the whole booth.,"Estande HOKA, B1","Stand HOKA, B1","HOKA booth, B1",Mediante apresentacao do numero de peito.,Presentando el dorsal.,Show your race bib.,17 a 20 de setembro,https://app-utmb.github.io/utmb-paraty-agenda/logos/hoka.png,,,sim
ben-nautika,expo,equipamentos,NTK Nautika,Até 40% de desconto,Hasta 40% de descuento,Up to 40% off,Brindes nas compras acima de R$ 250.,Regalos en compras superiores a R$ 250.,Free gifts on purchases over R$ 250.,"Estande NTK Nautika, F4","Stand NTK Nautika, F4","NTK Nautika booth, F4",Mediante apresentacao do numero de peito.,Presentando el dorsal.,Show your race bib.,17 a 20 de setembro,https://app-utmb.github.io/utmb-paraty-agenda/logos/nautika.png,,,
ben-deuter,expo,equipamentos,Deuter,Até 40% de desconto,Hasta 40% de descuento,Up to 40% off,Brindes nas compras acima de R$ 250.,Regalos en compras superiores a R$ 250.,Free gifts on purchases over R$ 250.,"Estande Deuter, E6","Stand Deuter, E6","Deuter booth, E6",Mediante apresentacao do numero de peito.,Presentando el dorsal.,Show your race bib.,17 a 20 de setembro,,,,
